# Chunk-averaged data for fix profA and group Cl_atoms
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
104000 82 4.999999999999999
  1 2.94949 0 0
  2 3.44949 0 0
  3 3.94949 0 0
  4 4.44949 0 0
  5 4.94949 0 0
  6 5.44949 0 0
  7 5.94949 0 0
  8 6.44949 0 0
  9 6.94949 0 0
  10 7.44949 0 0
  11 7.94949 0 0
  12 8.44949 0 0
  13 8.94949 0 0
  14 9.44949 0 0
  15 9.94949 0 0
  16 10.4495 0 0
  17 10.9495 0 0
  18 11.4495 0 0
  19 11.9495 0 0
  20 12.4495 0 0
  21 12.9495 0 0
  22 13.4495 0 0
  23 13.9495 0 0
  24 14.4495 0.05 0.000597705
  25 14.9495 0.7 0.00836787
  26 15.4495 0.25 0.00298853
  27 15.9495 0 0
  28 16.4495 0 0
  29 16.9495 0 0
  30 17.4495 0 0
  31 17.9495 0 0
  32 18.4495 0 0
  33 18.9495 0 0
  34 19.4495 0 0
  35 19.9495 0 0
  36 20.4495 0 0
  37 20.9495 0 0
  38 21.4495 0 0
  39 21.9495 0 0
  40 22.4495 0.25 0.00298853
  41 22.9495 0.55 0.00657476
  42 23.4495 0.1 0.00119541
  43 23.9495 0.1 0.00119541
  44 24.4495 0 0
  45 24.9495 0.05 0.000597705
  46 25.4495 0.05 0.000597705
  47 25.9495 0.2 0.00239082
  48 26.4495 0.35 0.00418394
  49 26.9495 0.35 0.00418394
  50 27.4495 0 0
  51 27.9495 0 0
  52 28.4495 0.2 0.00239082
  53 28.9495 0.45 0.00537935
  54 29.4495 0.35 0.00418394
  55 29.9495 0 0
  56 30.4495 0.05 0.000597705
  57 30.9495 0.85 0.010161
  58 31.4495 0.1 0.00119541
  59 31.9495 0 0
  60 32.4495 0 0
  61 32.9495 0 0
  62 33.4495 0 0
  63 33.9495 0 0
  64 34.4495 0 0
  65 34.9495 0 0
  66 35.4495 0 0
  67 35.9495 0 0
  68 36.4495 0 0
  69 36.9495 0 0
  70 37.4495 0 0
  71 37.9495 0 0
  72 38.4495 0 0
  73 38.9495 0 0
  74 39.4495 0 0
  75 39.9495 0 0
  76 40.4495 0 0
  77 40.9495 0 0
  78 41.4495 0 0
  79 41.9495 0 0
  80 42.4495 0 0
  81 42.9495 0 0
  82 43.4495 0 0
108000 82 10.000000000000002
  1 2.94949 0 0
  2 3.44949 0 0
  3 3.94949 0 0
  4 4.44949 0 0
  5 4.94949 0 0
  6 5.44949 0 0
  7 5.94949 0 0
  8 6.44949 0 0
  9 6.94949 0 0
  10 7.44949 0 0
  11 7.94949 0 0
  12 8.44949 0 0
  13 8.94949 0 0
  14 9.44949 0 0
  15 9.94949 0 0
  16 10.4495 0 0
  17 10.9495 0 0
  18 11.4495 0 0
  19 11.9495 0 0
  20 12.4495 0 0
  21 12.9495 0 0
  22 13.4495 0 0
  23 13.9495 0 0
  24 14.4495 0.025 0.000298853
  25 14.9495 0.8 0.00956329
  26 15.4495 0.175 0.00209197
  27 15.9495 0 0
  28 16.4495 0 0
  29 16.9495 0 0
  30 17.4495 0 0
  31 17.9495 0 0
  32 18.4495 0 0
  33 18.9495 0 0
  34 19.4495 0 0
  35 19.9495 0 0
  36 20.4495 0 0
  37 20.9495 0 0
  38 21.4495 0 0
  39 21.9495 0 0
  40 22.4495 0.4 0.00478164
  41 22.9495 0.5 0.00597705
  42 23.4495 0.05 0.000597705
  43 23.9495 0.05 0.000597705
  44 24.4495 0 0
  45 24.9495 0.025 0.000298853
  46 25.4495 0.125 0.00149426
  47 25.9495 0.425 0.0050805
  48 26.4495 0.225 0.00268967
  49 26.9495 0.2 0.00239082
  50 27.4495 0 0
  51 27.9495 0 0
  52 28.4495 0.125 0.00149426
  53 28.9495 0.6 0.00717246
  54 29.4495 0.25 0.00298853
  55 29.9495 0.15 0.00179312
  56 30.4495 0.375 0.00448279
  57 30.9495 0.45 0.00537935
  58 31.4495 0.05 0.000597705
  59 31.9495 0 0
  60 32.4495 0 0
  61 32.9495 0 0
  62 33.4495 0 0
  63 33.9495 0 0
  64 34.4495 0 0
  65 34.9495 0 0
  66 35.4495 0 0
  67 35.9495 0 0
  68 36.4495 0 0
  69 36.9495 0 0
  70 37.4495 0 0
  71 37.9495 0 0
  72 38.4495 0 0
  73 38.9495 0 0
  74 39.4495 0 0
  75 39.9495 0 0
  76 40.4495 0 0
  77 40.9495 0 0
  78 41.4495 0 0
  79 41.9495 0 0
  80 42.4495 0 0
  81 42.9495 0 0
  82 43.4495 0 0
112000 82 15
  1 2.94949 0 0
  2 3.44949 0 0
  3 3.94949 0 0
  4 4.44949 0 0
  5 4.94949 0 0
  6 5.44949 0 0
  7 5.94949 0 0
  8 6.44949 0 0
  9 6.94949 0 0
  10 7.44949 0 0
  11 7.94949 0 0
  12 8.44949 0 0
  13 8.94949 0 0
  14 9.44949 0 0
  15 9.94949 0 0
  16 10.4495 0 0
  17 10.9495 0 0
  18 11.4495 0 0
  19 11.9495 0 0
  20 12.4495 0 0
  21 12.9495 0 0
  22 13.4495 0 0
  23 13.9495 0 0
  24 14.4495 0.0166667 0.000199235
  25 14.9495 0.8 0.00956329
  26 15.4495 0.183333 0.00219159
  27 15.9495 0 0
  28 16.4495 0 0
  29 16.9495 0 0
  30 17.4495 0 0
  31 17.9495 0 0
  32 18.4495 0 0
  33 18.9495 0 0
  34 19.4495 0 0
  35 19.9495 0 0
  36 20.4495 0 0
  37 20.9495 0 0
  38 21.4495 0 0
  39 21.9495 0.0166667 0.000199235
  40 22.4495 0.416667 0.00498088
  41 22.9495 0.5 0.00597705
  42 23.4495 0.0333333 0.00039847
  43 23.9495 0.0333333 0.00039847
  44 24.4495 0 0
  45 24.9495 0.0166667 0.000199235
  46 25.4495 0.166667 0.00199235
  47 25.9495 0.483333 0.00577782
  48 26.4495 0.2 0.00239082
  49 26.9495 0.133333 0.00159388
  50 27.4495 0 0
  51 27.9495 0 0
  52 28.4495 0.0833333 0.000996176
  53 28.9495 0.4 0.00478164
  54 29.4495 0.433333 0.00518011
  55 29.9495 0.35 0.00418394
  56 30.4495 0.4 0.00478164
  57 30.9495 0.3 0.00358623
  58 31.4495 0.0333333 0.00039847
  59 31.9495 0 0
  60 32.4495 0 0
  61 32.9495 0 0
  62 33.4495 0 0
  63 33.9495 0 0
  64 34.4495 0 0
  65 34.9495 0 0
  66 35.4495 0 0
  67 35.9495 0 0
  68 36.4495 0 0
  69 36.9495 0 0
  70 37.4495 0 0
  71 37.9495 0 0
  72 38.4495 0 0
  73 38.9495 0 0
  74 39.4495 0 0
  75 39.9495 0 0
  76 40.4495 0 0
  77 40.9495 0 0
  78 41.4495 0 0
  79 41.9495 0 0
  80 42.4495 0 0
  81 42.9495 0 0
  82 43.4495 0 0
116000 82 19.999999999999996
  1 2.94949 0 0
  2 3.44949 0 0
  3 3.94949 0 0
  4 4.44949 0 0
  5 4.94949 0 0
  6 5.44949 0 0
  7 5.94949 0 0
  8 6.44949 0 0
  9 6.94949 0 0
  10 7.44949 0 0
  11 7.94949 0 0
  12 8.44949 0 0
  13 8.94949 0 0
  14 9.44949 0 0
  15 9.94949 0 0
  16 10.4495 0 0
  17 10.9495 0 0
  18 11.4495 0 0
  19 11.9495 0 0
  20 12.4495 0 0
  21 12.9495 0 0
  22 13.4495 0 0
  23 13.9495 0 0
  24 14.4495 0.025 0.000298853
  25 14.9495 0.7875 0.00941386
  26 15.4495 0.1875 0.0022414
  27 15.9495 0 0
  28 16.4495 0 0
  29 16.9495 0 0
  30 17.4495 0 0
  31 17.9495 0 0
  32 18.4495 0 0
  33 18.9495 0 0
  34 19.4495 0 0
  35 19.9495 0 0
  36 20.4495 0 0
  37 20.9495 0 0
  38 21.4495 0 0
  39 21.9495 0.1625 0.00194254
  40 22.4495 0.4125 0.00493107
  41 22.9495 0.375 0.00448279
  42 23.4495 0.025 0.000298853
  43 23.9495 0.025 0.000298853
  44 24.4495 0 0
  45 24.9495 0.0875 0.00104598
  46 25.4495 0.2875 0.00343681
  47 25.9495 0.375 0.00448279
  48 26.4495 0.15 0.00179312
  49 26.9495 0.1 0.00119541
  50 27.4495 0 0
  51 27.9495 0 0
  52 28.4495 0.0625 0.000747132
  53 28.9495 0.3375 0.00403451
  54 29.4495 0.5125 0.00612648
  55 29.9495 0.425 0.0050805
  56 30.4495 0.4125 0.00493107
  57 30.9495 0.225 0.00268967
  58 31.4495 0.025 0.000298853
  59 31.9495 0 0
  60 32.4495 0 0
  61 32.9495 0 0
  62 33.4495 0 0
  63 33.9495 0 0
  64 34.4495 0 0
  65 34.9495 0 0
  66 35.4495 0 0
  67 35.9495 0 0
  68 36.4495 0 0
  69 36.9495 0 0
  70 37.4495 0 0
  71 37.9495 0 0
  72 38.4495 0 0
  73 38.9495 0 0
  74 39.4495 0 0
  75 39.9495 0 0
  76 40.4495 0 0
  77 40.9495 0 0
  78 41.4495 0 0
  79 41.9495 0 0
  80 42.4495 0 0
  81 42.9495 0 0
  82 43.4495 0 0
120000 82 25
  1 2.94949 0 0
  2 3.44949 0 0
  3 3.94949 0 0
  4 4.44949 0 0
  5 4.94949 0 0
  6 5.44949 0 0
  7 5.94949 0 0
  8 6.44949 0 0
  9 6.94949 0 0
  10 7.44949 0 0
  11 7.94949 0 0
  12 8.44949 0 0
  13 8.94949 0 0
  14 9.44949 0 0
  15 9.94949 0 0
  16 10.4495 0 0
  17 10.9495 0 0
  18 11.4495 0 0
  19 11.9495 0 0
  20 12.4495 0 0
  21 12.9495 0 0
  22 13.4495 0 0
  23 13.9495 0 0
  24 14.4495 0.1 0.00119541
  25 14.9495 0.75 0.00896558
  26 15.4495 0.15 0.00179312
  27 15.9495 0 0
  28 16.4495 0 0
  29 16.9495 0 0
  30 17.4495 0 0
  31 17.9495 0 0
  32 18.4495 0 0
  33 18.9495 0 0
  34 19.4495 0 0
  35 19.9495 0 0
  36 20.4495 0 0
  37 20.9495 0 0
  38 21.4495 0.07 0.000836787
  39 21.9495 0.18 0.00215174
  40 22.4495 0.4 0.00478164
  41 22.9495 0.31 0.00370577
  42 23.4495 0.02 0.000239082
  43 23.9495 0.02 0.000239082
  44 24.4495 0.01 0.000119541
  45 24.9495 0.19 0.00227128
  46 25.4495 0.29 0.00346669
  47 25.9495 0.31 0.00370577
  48 26.4495 0.12 0.00143449
  49 26.9495 0.08 0.000956329
  50 27.4495 0 0
  51 27.9495 0 0
  52 28.4495 0.05 0.000597705
  53 28.9495 0.32 0.00382531
  54 29.4495 0.59 0.00705292
  55 29.9495 0.51 0.00609659
  56 30.4495 0.33 0.00394486
  57 30.9495 0.18 0.00215174
  58 31.4495 0.02 0.000239082
  59 31.9495 0 0
  60 32.4495 0 0
  61 32.9495 0 0
  62 33.4495 0 0
  63 33.9495 0 0
  64 34.4495 0 0
  65 34.9495 0 0
  66 35.4495 0 0
  67 35.9495 0 0
  68 36.4495 0 0
  69 36.9495 0 0
  70 37.4495 0 0
  71 37.9495 0 0
  72 38.4495 0 0
  73 38.9495 0 0
  74 39.4495 0 0
  75 39.9495 0 0
  76 40.4495 0 0
  77 40.9495 0 0
  78 41.4495 0 0
  79 41.9495 0 0
  80 42.4495 0 0
  81 42.9495 0 0
  82 43.4495 0 0
124000 82 30
  1 2.94949 0 0
  2 3.44949 0 0
  3 3.94949 0 0
  4 4.44949 0 0
  5 4.94949 0 0
  6 5.44949 0 0
  7 5.94949 0 0
  8 6.44949 0 0
  9 6.94949 0 0
  10 7.44949 0 0
  11 7.94949 0 0
  12 8.44949 0 0
  13 8.94949 0 0
  14 9.44949 0 0
  15 9.94949 0 0
  16 10.4495 0 0
  17 10.9495 0 0
  18 11.4495 0 0
  19 11.9495 0 0
  20 12.4495 0 0
  21 12.9495 0 0
  22 13.4495 0 0
  23 13.9495 0 0
  24 14.4495 0.1 0.00119541
  25 14.9495 0.775 0.00926443
  26 15.4495 0.125 0.00149426
  27 15.9495 0 0
  28 16.4495 0 0
  29 16.9495 0 0
  30 17.4495 0 0
  31 17.9495 0 0
  32 18.4495 0 0
  33 18.9495 0 0
  34 19.4495 0 0
  35 19.9495 0.00833333 9.96176e-05
  36 20.4495 0.0166667 0.000199235
  37 20.9495 0.0583333 0.000697323
  38 21.4495 0.1 0.00119541
  39 21.9495 0.191667 0.0022912
  40 22.4495 0.333333 0.0039847
  41 22.9495 0.258333 0.00308814
  42 23.4495 0.0166667 0.000199235
  43 23.9495 0.0166667 0.000199235
  44 24.4495 0.00833333 9.96176e-05
  45 24.9495 0.175 0.00209197
  46 25.4495 0.316667 0.00378547
