# Distance / pm;  Density / nm^(-1);  Integral
-1993.333333;  9.532968636;  0.1271062485
-1980.000000;  5.805603187;  0.2045142910
-1966.666667;  4.249510009;  0.2611744244
-1953.333333;  16.52299436;  0.4814810159
-1940.000000;  43.30845725;  1.058927113
-1926.666667;  45.14345302;  1.660839819
-1913.333333;  24.89985978;  1.992837950
-1900.000000;  15.69243048;  2.202070356
-1886.666667;  10.55777257;  2.342840657
-1873.333333;  13.41785461;  2.521745385
-1860.000000;  18.87413071;  2.773400461
-1846.666667;  21.98124064;  3.066483670
-1833.333333;  28.23404170;  3.442937559
-1820.000000;  30.83574894;  3.854080878
-1806.666667;  42.55635283;  4.421498916
-1793.333333;  33.97597904;  4.874511970
-1780.000000;  11.98227491;  5.034275635
-1766.666667;  13.11235306;  5.209107010
-1753.333333;  19.04197703;  5.463000037
-1740.000000;  20.48685115;  5.736158052
-1726.666667;  17.69551254;  5.972098219
-1713.333333;  10.92284823;  6.117736196
-1700.000000;  4.011883251;  6.171227972
-1686.666667;  3.102022334;  6.212588270
-1673.333333;  0.5558797446;  6.220000000
-1660.000000;  0.000000000;  6.220000000
-1646.666667;  0.000000000;  6.220000000
-1633.333333;  0.000000000;  6.220000000
-1620.000000;  0.000000000;  6.220000000
-1606.666667;  0.000000000;  6.220000000
-1593.333333;  0.000000000;  6.220000000
-1580.000000;  0.000000000;  6.220000000
-1566.666667;  0.000000000;  6.220000000
-1553.333333;  0.000000000;  6.220000000
-1540.000000;  0.000000000;  6.220000000
-1526.666667;  0.000000000;  6.220000000
-1513.333333;  0.000000000;  6.220000000
-1500.000000;  0.000000000;  6.220000000
-1486.666667;  0.000000000;  6.220000000
-1473.333333;  0.000000000;  6.220000000
-1460.000000;  0.000000000;  6.220000000
-1446.666667;  0.000000000;  6.220000000
-1433.333333;  0.000000000;  6.220000000
-1420.000000;  0.000000000;  6.220000000
-1406.666667;  0.000000000;  6.220000000
-1393.333333;  0.000000000;  6.220000000
-1380.000000;  0.000000000;  6.220000000
-1366.666667;  0.000000000;  6.220000000
-1353.333333;  0.000000000;  6.220000000
-1340.000000;  0.000000000;  6.220000000
-1326.666667;  0.000000000;  6.220000000
-1313.333333;  0.000000000;  6.220000000
-1300.000000;  0.000000000;  6.220000000
-1286.666667;  0.000000000;  6.220000000
-1273.333333;  0.000000000;  6.220000000
-1260.000000;  0.000000000;  6.220000000
-1246.666667;  0.000000000;  6.220000000
-1233.333333;  0.000000000;  6.220000000
-1220.000000;  0.000000000;  6.220000000
-1206.666667;  0.000000000;  6.220000000
-1193.333333;  0.000000000;  6.220000000
-1180.000000;  0.000000000;  6.220000000
-1166.666667;  0.000000000;  6.220000000
-1153.333333;  1.026145659;  6.233681942
-1140.000000;  8.615248820;  6.348551926
-1126.666667;  33.89608279;  6.800499697
-1113.333333;  57.10244915;  7.561865686
-1100.000000;  54.08889861;  8.283051000
-1086.666667;  45.86710776;  8.894612437
-1073.333333;  36.22459557;  9.377607045
-1060.000000;  29.47520665;  9.770609800
-1046.666667;  20.49993115;  10.04394222
-1033.333333;  13.60104147;  10.22528943
-1020.000000;  7.909224072;  10.33074576
-1006.666667;  10.79230188;  10.47464311
-993.3333333;  17.28745088;  10.70514246
-980.0000000;  24.92840014;  11.03752113
-966.6666667;  38.14221956;  11.54608406
-953.3333333;  60.07778136;  12.34712114
-940.0000000;  75.31132033;  13.35127208
-926.6666667;  94.16325582;  14.60678216
-913.3333333;  91.38225782;  15.82521226
-900.0000000;  86.13874899;  16.97372891
-886.6666667;  67.03984075;  17.86759346
-873.3333333;  45.74828601;  18.47757060
-860.0000000;  36.40795164;  18.96300996
-846.6666667;  34.34407531;  19.42093096
-833.3333333;  25.51521075;  19.76113377
-820.0000000;  27.32432811;  20.12545815
-806.6666667;  43.43065426;  20.70453354
-793.3333333;  44.85913712;  21.30265537
-780.0000000;  42.26689153;  21.86621392
-766.6666667;  54.28179766;  22.58997122
-753.3333333;  51.71256755;  23.27947212
-740.0000000;  54.85383855;  24.01085664
-726.6666667;  55.44560419;  24.75013136
-713.3333333;  65.67976835;  25.62586160
-700.0000000;  66.20354197;  26.50857550
-686.6666667;  69.07158678;  27.42952999
-673.3333333;  58.51496003;  28.20972945
-660.0000000;  64.82665661;  29.07408488
-646.6666667;  58.30892145;  29.85153716
-633.3333333;  49.50727853;  30.51163421
-620.0000000;  55.10689522;  31.24639281
-606.6666667;  54.62187541;  31.97468448
-593.3333333;  59.60234489;  32.76938242
-580.0000000;  67.89209972;  33.67461041
-566.6666667;  66.96670583;  34.56749982
-553.3333333;  64.94693157;  35.43345891
-540.0000000;  59.09822685;  36.22143527
-526.6666667;  56.17562158;  36.97044356
-513.3333333;  62.52191605;  37.80406910
-500.0000000;  51.69614035;  38.49335097
-486.6666667;  52.53869111;  39.19386686
-473.3333333;  57.64484241;  39.96246475
-460.0000000;  56.83446911;  40.72025768
-446.6666667;  55.63591108;  41.46206982
-433.3333333;  54.04813978;  42.18271169
-420.0000000;  49.21912523;  42.83896669
-406.6666667;  51.53534740;  43.52610466
-393.3333333;  57.34061431;  44.29064618
-380.0000000;  56.08430851;  45.03843696
-366.6666667;  44.37587692;  45.63011532
-353.3333333;  53.30872976;  46.34089838
-340.0000000;  56.95205924;  47.10025917
-326.6666667;  56.93021372;  47.85932869
-313.3333333;  65.48985874;  48.73252681
-300.0000000;  52.91143688;  49.43801263
-286.6666667;  54.23445463;  50.16113869
-273.3333333;  57.12391405;  50.92279088
-260.0000000;  51.11148544;  51.60427735
-246.6666667;  45.86062563;  52.21575236
-233.3333333;  49.20089985;  52.87176436
-220.0000000;  51.99904274;  53.56508493
-206.6666667;  42.19593614;  54.12769741
-193.3333333;  51.15589369;  54.80977599
-180.0000000;  51.80246893;  55.50047558
-166.6666667;  53.87622782;  56.21882528
-153.3333333;  48.53576176;  56.86596877
-140.0000000;  63.72946177;  57.71569493
-126.6666667;  59.38158557;  58.50744940
-113.3333333;  57.48234554;  59.27388068
-100.0000000;  49.10634092;  59.92863189
-86.66666667;  57.57124441;  60.69624848
-73.33333333;  54.44780828;  61.42221926
-60.00000000;  64.44001334;  62.28141944
-46.66666667;  65.21391821;  63.15093835
-33.33333333;  63.77923758;  64.00132818
-20.00000000;  61.71395330;  64.82418089
-6.666666667;  64.75658550;  65.68760203
6.666666667;  61.17834149;  66.50331325
20.00000000;  50.00363823;  67.17002843
33.33333333;  53.40829565;  67.88213904
46.66666667;  56.88734154;  68.64063692
60.00000000;  47.76326653;  69.27748048
73.33333333;  47.33867115;  69.90866276
86.66666667;  53.76018338;  70.62546521
100.0000000;  61.58896428;  71.44665140
113.3333333;  64.76261643;  72.31015295
126.6666667;  58.22730881;  73.08651707
140.0000000;  56.35894870;  73.83796971
153.3333333;  52.35010127;  74.53597106
166.6666667;  54.35283737;  75.26067556
180.0000000;  47.82526129;  75.89834571
193.3333333;  67.02476025;  76.79200918
206.6666667;  63.22376535;  77.63499272
220.0000000;  60.36114892;  78.43980804
233.3333333;  56.84387906;  79.19772643
246.6666667;  62.47245835;  80.03069254
260.0000000;  67.86912589;  80.93561422
273.3333333;  64.55481329;  81.79634506
286.6666667;  61.63108975;  82.61809293
300.0000000;  66.60392954;  83.50614532
313.3333333;  49.14147169;  84.16136494
326.6666667;  54.59604280;  84.88931218
340.0000000;  48.41653511;  85.53486598
353.3333333;  52.49298637;  86.23477247
366.6666667;  52.30524302;  86.93217571
380.0000000;  51.24945452;  87.61550177
393.3333333;  56.12868862;  88.36388428
406.6666667;  56.41145893;  89.11603707
420.0000000;  54.86692166;  89.84759602
433.3333333;  57.58664201;  90.61541792
446.6666667;  45.16003809;  91.21755176
460.0000000;  44.21037509;  91.80702342
473.3333333;  44.01018979;  92.39382595
486.6666667;  56.31742496;  93.14472495
500.0000000;  62.06288651;  93.97223011
513.3333333;  48.98977842;  94.62542715
526.6666667;  52.17913165;  95.32114891
540.0000000;  56.51982442;  96.07474657
553.3333333;  51.22897951;  96.75779963
566.6666667;  53.98215747;  97.47756173
580.0000000;  52.90438746;  98.18295356
593.3333333;  48.25865362;  98.82640228
606.6666667;  49.74018339;  99.48960472
620.0000000;  49.33613982;  100.1474199
633.3333333;  49.74708165;  100.8107143
646.6666667;  50.99054020;  101.4905882
660.0000000;  40.64141345;  102.0324737
673.3333333;  37.17249804;  102.5281070
686.6666667;  45.79160300;  103.1386617
700.0000000;  43.11965307;  103.7135904
713.3333333;  38.72489330;  104.2299224
726.6666667;  50.55593692;  104.9040015
740.0000000;  44.88615093;  105.5024835
753.3333333;  40.96295608;  106.0486563
766.6666667;  41.36437238;  106.6001812
780.0000000;  47.06070133;  107.2276573
793.3333333;  55.99609374;  107.9742718
806.6666667;  57.60209660;  108.7422998
820.0000000;  53.66042766;  109.4577722
833.3333333;  45.23694607;  110.0609314
846.6666667;  42.12505359;  110.6225988
860.0000000;  52.75537540;  111.3260038
873.3333333;  51.61307649;  112.0141782
886.6666667;  41.86608000;  112.5723926
900.0000000;  48.33237038;  113.2168242
913.3333333;  44.88991361;  113.8153564
926.6666667;  40.19070301;  114.3512324
940.0000000;  28.97149665;  114.7375190
953.3333333;  28.51025825;  115.1176558
966.6666667;  29.97296878;  115.5172954
980.0000000;  28.69320316;  115.8998714
993.3333333;  34.45565664;  116.3592802
1006.666667;  53.07128692;  117.0668973
1020.000000;  69.03624516;  117.9873806
1033.333333;  71.21132648;  118.9368650
1046.666667;  81.64114335;  120.0254135
1060.000000;  69.16965185;  120.9476756
1073.333333;  56.07540635;  121.6953477
1086.666667;  39.45343118;  122.2213934
1100.000000;  28.62278166;  122.6030305
1113.333333;  26.70536706;  122.9591021
1126.666667;  24.72666896;  123.2887910
1140.000000;  36.07579341;  123.7698016
1153.333333;  46.25583079;  124.3865460
1166.666667;  45.09197481;  124.9877723
1180.000000;  37.06998596;  125.4820388
1193.333333;  43.78036613;  126.0657770
1206.666667;  37.67465957;  126.5681058
